Age,DistanceFromHome,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,Education_Below College,Education_College,Education_Doctor,Education_Master,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
51,2,2,56750,5.0,13,0,13.0,2,4,1,2,2,3,4.0,2.0,3.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
41,29,1,23790,1.0,12,0,22.0,6,22,0,4,3,3,4.0,2.0,3.0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
18,7,1,38120,1.0,15,0,0.0,3,0,0,0,3,3,4.0,3.0,3.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
28,9,1,46480,0.0,23,2,9.0,2,8,0,7,2,4,2.0,1.0,3.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
31,8,1,29360,4.0,12,1,10.0,2,8,7,7,3,3,2.0,4.0,2.0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
39,5,2,21050,0.0,20,0,19.0,3,18,3,7,3,4,3.0,4.0,2.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36,5,1,85780,7.0,21,0,11.0,4,9,0,8,3,4,2.0,2.0,3.0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
32,2,2,27060,1.0,21,1,13.0,4,13,4,8,3,4,4.0,3.0,2.0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
38,5,3,63840,3.0,19,2,19.0,4,10,0,1,2,3,1.0,2.0,3.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
58,2,2,39680,2.0,13,2,12.0,3,5,1,2,2,3,4.0,3.0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
31,20,3,99070,0.0,13,1,6.0,3,5,0,3,2,3,3.0,4.0,3.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
31,7,2,132250,3.0,21,1,9.0,2,2,1,0,3,4,1.0,1.0,3.0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
45,3,1,35400,1.0,13,0,24.0,6,24,9,11,3,3,1.0,1.0,3.0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31,16,2,28040,0.0,19,2,3.0,0,2,2,2,3,3,3.0,4.0,1.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,9,4,193920,6.0,12,1,12.0,3,10,8,8,3,3,4.0,2.0,3.0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
39,1,1,196650,1.0,22,1,21.0,6,21,11,10,3,4,3.0,1.0,3.0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
43,7,4,24390,0.0,15,0,9.0,2,8,1,7,3,3,3.0,4.0,3.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
49,1,3,73140,7.0,22,0,25.0,2,7,0,7,3,4,3.0,3.0,3.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
52,7,2,47740,2.0,18,1,11.0,2,8,7,7,3,3,3.0,2.0,2.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
27,15,3,39020,1.0,22,0,4.0,2,4,1,2,3,4,3.0,2.0,2.0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
32,1,3,26620,1.0,11,1,13.0,6,13,11,9,4,3,3.0,2.0,3.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
27,13,4,28560,1.0,12,2,5.0,5,5,0,4,4,3,4.0,3.0,3.0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
31,24,2,10810,4.0,11,3,13.0,4,7,1,7,4,3,4.0,4.0,3.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,7,2,24720,7.0,13,0,10.0,2,7,0,7,3,3,1.0,4.0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
28,9,1,56730,5.0,14,1,5.0,4,3,2,2,2,3,1.0,4.0,2.0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
30,13,4,41970,1.0,13,0,11.0,3,10,1,9,3,3,4.0,4.0,3.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
31,2,1,97130,1.0,17,0,10.0,5,10,8,9,2,3,3.0,3.0,3.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39,19,1,20620,1.0,13,0,21.0,4,21,13,3,3,3,3.0,4.0,3.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
39,1,1,42840,4.0,17,1,12.0,0,1,0,0,3,3,4.0,3.0,2.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
33,4,4,47880,3.0,11,1,9.0,0,7,0,1,3,3,2.0,4.0,2.0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
47,4,2,59060,4.0,23,0,21.0,4,3,1,1,4,4,4.0,3.0,3.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,14,5,38860,1.0,17,2,9.0,2,9,0,0,3,3,3.0,3.0,4.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
27,2,1,168230,0.0,17,0,6.0,3,5,1,4,3,3,3.0,2.0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
54,1,2,29330,3.0,12,2,20.0,2,4,0,3,3,3,4.0,3.0,2.0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
43,7,2,65000,8.0,23,0,10.0,3,1,0,0,3,4,3.0,1.0,2.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
45,3,1,171740,9.0,14,1,12.0,6,10,9,8,3,3,4.0,4.0,3.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
40,2,4,50330,2.0,14,2,6.0,6,4,0,2,3,3,2.0,4.0,2.0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
29,29,1,23070,1.0,13,1,7.0,0,7,0,7,3,3,2.0,1.0,2.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
29,8,3,25870,0.0,22,2,4.0,3,3,2,2,3,4,2.0,4.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
30,10,2,55070,1.0,12,2,10.0,2,10,1,2,2,3,4.0,3.0,3.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
27,11,1,43930,1.0,18,1,8.0,2,8,0,7,2,3,2.0,2.0,3.0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
37,1,2,133480,7.0,14,0,8.0,4,6,0,4,3,3,4.0,4.0,2.0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,28,1,65830,0.0,12,0,12.0,1,11,2,9,3,3,3.0,4.0,3.0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
31,6,3,81030,1.0,15,1,11.0,5,11,4,10,3,3,3.0,4.0,2.7614364135407135,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
29,3,3,39780,1.0,11,0,7.0,0,7,1,7,3,3,4.0,2.0,3.0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
35,16,3,25440,0.0,13,1,17.0,3,16,0,13,4,3,3.0,2.0,3.0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
23,20,1,53990,1.0,23,0,4.0,2,4,0,2,2,4,3.0,4.0,2.0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
41,9,1,54870,6.0,19,2,8.0,0,5,1,2,3,3,4.0,2.0,3.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
47,1,2,68340,3.0,16,1,5.0,2,0,0,0,4,3,2.0,3.0,3.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
42,3,1,10910,2.0,22,0,16.0,0,1,0,0,1,4,1.0,4.0,3.0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
29,22,2,57360,1.0,22,0,4.0,1,4,0,2,2,4,4.0,3.0,2.0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
42,7,3,22260,0.0,12,1,4.0,3,3,1,0,2,3,3.0,3.0,3.0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
32,2,2,57470,1.0,13,0,8.0,0,8,0,7,3,3,3.0,2.0,3.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
48,13,4,98540,3.0,16,1,15.0,2,0,0,0,2,3,1.0,3.0,1.0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
37,8,2,54670,4.0,12,0,13.0,2,7,6,7,3,3,3.0,1.0,3.0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
30,25,1,53800,7.0,21,1,4.0,0,2,2,2,3,4,4.0,3.0,4.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
26,28,5,51510,1.0,15,3,8.0,3,8,7,7,3,3,3.0,3.0,3.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
42,2,1,21330,3.0,13,2,14.0,2,1,0,0,3,3,1.0,4.0,3.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
21,9,4,178750,1.0,12,0,3.0,5,3,1,2,2,3,1.0,2.0,3.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
36,28,2,24320,4.0,22,0,7.0,4,1,0,0,1,4,4.0,4.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
36,6,2,47710,4.0,13,1,16.0,2,13,1,12,3,3,1.0,4.0,3.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
57,21,5,191610,2.0,18,0,15.0,2,3,1,2,1,3,4.0,3.0,3.0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
40,8,2,50870,3.0,14,1,10.0,3,7,1,7,3,3,4.0,3.0,3.0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
21,1,2,28630,1.0,14,0,3.0,2,3,2,2,1,3,1.0,4.0,2.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
33,28,5,55610,1.0,21,1,1.0,3,1,0,0,1,4,4.0,3.0,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
37,5,4,21440,6.0,19,0,17.0,3,5,0,3,4,3,3.0,1.0,3.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
46,2,2,30650,2.0,11,0,7.0,3,1,0,0,3,3,3.0,3.0,4.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
41,16,1,28100,1.0,11,0,8.0,3,8,7,7,4,3,1.0,2.0,3.0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
50,9,3,98880,6.0,15,0,20.0,2,4,1,3,3,3,4.0,4.0,3.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
40,8,1,86280,2.0,20,0,8.0,2,6,1,0,2,4,3.0,3.0,3.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
31,1,4,28670,0.0,24,0,3.0,5,2,2,2,3,4,2.7236031927023947,2.0,3.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
21,10,1,53730,1.0,12,1,1.0,2,1,0,0,3,3,3.0,2.0,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
29,1,2,66670,9.0,12,1,6.0,6,3,1,2,4,3,4.0,4.0,3.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35,29,3,50030,9.0,15,0,10.0,2,1,0,0,3,3,3.0,2.0,3.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
27,2,1,23670,2.6948303347756775,12,1,5.0,2,5,0,4,3,3,4.0,2.0,3.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
28,2,3,28580,1.0,12,0,7.0,2,7,0,7,2,3,2.0,4.0,3.0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
49,2,2,52040,8.0,14,1,26.0,3,5,0,0,3,3,2.0,3.0,3.0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
51,1,1,41050,4.0,22,1,18.0,2,7,0,7,3,4,3.0,4.0,2.0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
36,15,1,96790,4.0,12,0,6.0,1,2,2,2,3,3,4.0,3.0,3.0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
34,7,1,56170,8.0,25,1,9.0,3,5,0,4,3,4,1.0,4.0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
55,26,1,104480,2.0,13,0,30.0,3,5,1,2,3,3,3.0,4.0,3.0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
24,1,5,28970,1.0,18,3,5.0,4,5,0,3,3,3,4.0,3.0,4.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,3,2,59680,1.0,13,0,1.0,3,1,0,0,3,3,3.0,2.0,3.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
26,14,2,75100,0.0,18,3,7.0,3,6,0,4,3,3,3.0,2.728246013667426,3.0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
22,16,1,29910,1.0,19,2,2.0,3,2,1,2,2,3,1.0,2.0,3.0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
36,1,5,196360,1.0,12,1,10.0,3,10,9,0,3,3,2.0,3.0,3.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30,3,3,11290,9.0,19,0,3.0,2,1,0,0,2,3,3.0,4.0,3.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
37,10,1,133410,1.0,14,1,18.0,3,18,12,17,3,3,4.0,1.0,2.0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
40,6,3,43320,7.0,14,2,8.0,3,5,1,3,2,3,4.0,2.0,3.0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
42,2,4,110310,3.0,12,1,8.0,2,5,1,2,2,3,2.0,1.0,3.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
37,9,3,44400,2.0,11,1,18.0,3,1,0,1,2,3,3.0,2.0,2.0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
43,10,1,46170,1.0,11,0,25.0,2,25,3,9,3,3,1.0,2.0,3.0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,6,1,26470,6.0,13,0,20.0,2,1,0,0,2,3,2.0,3.0,3.0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
54,9,2,63230,4.0,23,1,24.0,2,4,1,2,2,4,1.0,1.0,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
34,28,1,56770,9.0,20,1,6.0,3,3,1,2,3,4,3.0,3.0,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
31,10,3,21870,1.0,15,1,13.0,2,13,3,12,2,3,2.0,1.0,1.0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
43,14,1,37480,7.0,14,2,11.279936378095888,3,3,1,2,2,3,4.0,4.0,3.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
43,27,2,39770,4.0,18,1,8.0,3,5,0,2,3,3,3.0,3.0,3.0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
25,7,1,86330,1.0,19,1,5.0,2,5,1,3,4,3,2.0,4.0,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
37,1,3,20080,3.0,22,0,15.0,5,13,10,7,2,4,2.0,3.0,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
